Date,Sales
2020-01-01,1500
2020-02-01,1380
2020-03-01,1600
2020-04-01,1450
2020-05-01,1700
2020-06-01,1800
2020-07-01,1750
2020-08-01,1900
2020-09-01,1650
2020-10-01,1850
2020-11-01,2100
2020-12-01,2500
2021-01-01,1600
2021-02-01,1480
2021-03-01,1750
2021-04-01,1550
2021-05-01,1850
2021-06-01,1950
2021-07-01,1880
2021-08-01,2050
2021-09-01,1780
2021-10-01,1980
2021-11-01,2300
2021-12-01,2700
2022-01-01,1750
2022-02-01,1600
2022-03-01,1900
2022-04-01,1700
2022-05-01,2000
2022-06-01,2100
2022-07-01,2050
2022-08-01,2200
2022-09-01,1950
2022-10-01,2150
2022-11-01,2500
2022-12-01,2900
2023-01-01,1900
2023-02-01,1750
2023-03-01,2050
2023-04-01,1850
2023-05-01,2150
2023-06-01,2250
2023-07-01,2200
2023-08-01,2350
2023-09-01,2100
2023-10-01,2300
2023-11-01,2700
2023-12-01,3100
